Date,Open,High,Low,Close,Volume,Adjusted,AssetSymbol,DataSource,Return,Volatility20,RSI14,Close_vs_MA20,Cluster,RegimeName,RegimeExplanation
2015-03-17,125.900002,127.32,125.650002,127.040001,51023100,122.145688,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,0.016726723084464545,0.22531400610542535,45.53345110176024,-0.0049462738676903095,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-18,127.0,129.160004,126.370003,128.470001,65270900,123.520597,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,0.011256304029332531,0.22763158817934165,44.97163810272716,0.006352882686038397,0,Bullish Trend,Positive returns with price above MA20 and stronger RSI suggest an upward trend.
2015-03-19,128.75,129.25,127.400002,127.5,45809500,122.587966,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,-0.007550408779193329,0.22911626108922106,47.39128711982546,-0.0008737344825695548,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-20,128.25,128.399994,125.160004,125.900002,68695100,121.049608,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,-0.012549013171488488,0.2307862418885763,41.76563076045127,-0.01201820451602309,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-23,127.120003,127.849998,126.519997,127.209999,37709700,122.309137,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,0.010405064673980613,0.21035675370937304,44.73296936839338,0.0005348342662623295,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-24,127.230003,128.039993,126.559998,126.690002,32842300,121.809174,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,-0.004087699515041177,0.2099384357328533,45.400318961779206,-0.0014030059085002877,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-25,126.540001,126.82,123.379997,123.379997,51655200,118.626689,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,-0.026126808806699597,0.21076940370893799,42.88396845555842,-0.025415211470037002,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-26,122.760002,124.879997,122.599998,124.239998,47572900,119.453558,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,0.006970345433817249,0.20642570205354419,44.62659599816821,-0.016220804099052577,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-27,124.57,124.699997,122.910004,123.25,39546200,118.5017,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,-0.007968435732990109,0.2021486979824347,41.320842477449624,-0.022042713910682354,1,Weak / Bearish,Weaker returns and lower relative price vs. MA20 suggest softer or bearish conditions.
2015-03-30,124.050003,126.400002,124.0,126.370003,47099700,121.501502,AAPL,https://raw.githubusercontent.com/plotly/datasets/master/finance-charts-apple.csv,0.025314421649647256,0.2232619998008287,54.06113334820011,0.00379692937176479,0,Bullish Trend,Positive returns with price above MA20 and stronger RSI suggest an upward trend.
